 CODE	TRACK	SONG	ARTIST
SFKK39	3	Let Me Be Me	Jessica Mauboy
SFKK39	4	According To You	Orianthi
SFKK39	5	Down	Jay Sean And Lil Wayne
SFKK39	6	You Know Me	Robbie Williams
SFKK39	7	Whatcha Say	Jason Derulo
SFKK39	8	Empire State Of Mind	Jay Z And Alicia Keys
SFKK39	9	Hotel Room Service	Pitbull
SFKK39	10	Little Lion Man	Mumford And Sons
SFKK39	11	All Of The Dreamers	Powderfinger
SFKK39	12	Video Phone	Beyonce
SFKK39	13	I Want To Know What Love Is	Mariah Carey
SFKK39	14	Fifteen	Taylor Swift
SFKK39	15	21st Century Breakdown	Green Day
SFKK40	1	Good Day	Hayley Warner
SFKK40	2	One Way Road	John Butler Trio
SFKK40	3	Ave Mary	Pink
SFKK40	4	Fireflies	Owl City
SFKK40	5	Replay	Iyaz
SFKK40	6	And The Boys	Angus And Julia Stone
SFKK40	7	Porn Star	Amy Meredith
SFKK40	8	Rain	Creed
SFKK40	9	Give Me The Meltdown	Rob Thomas
SFKK40	10	Kings And Queens	30 Seconds To Mars
SFKK40	11	Rude Boy	Rihanna
SFKK40	12	Rock That Body	Black Eyed Peas
SFKK40	13	Doesn't Mean Anything	Alicia Keys
SFKK40	14	Bad Boys	Alexandra Burke And Flo Rida
SFKK40	15	Talk You Down	Script
