iTunes Ready
Below is export from iTunes. ALL song filled with info 

Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Poison	Nicole Scherzinger		Poison - Single		Pop	9143348	227			1		2010	20/04/2011 20:19	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Nicole Scherzinger\Poison - Single\Poison.mp3
Heart on My Sleeve	Olly Murs		Heart on My Sleeve - Single		Pop	8992313	209			1		2010	25/03/2011 14:14	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Olly Murs\Heart On My Sleeve - Single\Heart on My Sleeve.mp3
Please Don't Let Me Go	Olly Murs		Please Don't Let Me Go - Single		Pop	8421014	210			1	2	2010	25/03/2011 14:14	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Olly Murs\Please Don't Let Me Go\Please Don't Let Me Go.mp3
Thinking of Me	Olly Murs		Thinking of Me - Single		Pop	10379775	206			1		2010	20/04/2011 20:09	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Olly Murs\Thinking Of Me - Single\Thinking of Me.mp3
Hey Baby (Drop It to the Floor)	Pitbull & T-Pain		Hey Baby (Drop It To The Floor) [feat. T-Pain] - Single		Pop	9466299	236			1		2011	29/04/2011 21:25	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Pitbull & T-Pain\Hey Baby (Drop It to the Floor).mp3
Only Girl (In The World)	Rihanna		Only Girl (In The World) - Single		Pop	11788267	235					2010	06/04/2011 22:35	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Rihanna\Only Girl (In The World) - Single\Only Girl (In The World).mp3
S&M (Come On) 	Rihanna		S&M (Come On) - Single		Pop	10299709	243			1		2011	28/03/2011 21:43	27/04/2011 19:50	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Rihanna\S&M (Come On) - Single\S&M (Come On).mp3
Shame	Robbie Willams		In And Out Of Consciousness (Greatest Hits 1990-2010)		Pop	11767849	240			1		2010	26/04/2011 21:45	27/04/2011 19:51	191	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Robbie Williams\In and out of Consciousness\Shame.mp3
Green Light	Roll Deep		Green Light (Remixes)		Dance	5523285	234			1		2010	25/03/2011 14:15	27/04/2011 19:51	128	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Roll Deep\Green Light (Remixes)\Green Light.mp3
Higher	The Saturdays		Higher (feat. Flo Rida)		Pop	8322713	207			1		2010	27/04/2011 18:05	27/04/2011 19:51	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\The Saturdays\Higher (feat. Flo Rida)\01 Higher.mp3
Shout (feat. Dizzie Rascal & James Corden)	Shout For England		Shout (feat. Dizzie Rascal & James Corden) - Single			8060171	200			1		2010	25/03/2011 14:15	27/04/2011 19:51	320	48000		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Shout For England\Shout (feat. Dizzie Rascal & James Corden) - Single\Shout (feat. Dizzie Rascal & Jame.mp3
Sweat	Snoop Dog Feat David Guetta		Sweat (Snoop Dogg vs. David Guetta) [Remix] - Single		Pop	7862408	196			1		2011	29/04/2011 21:26	27/04/2011 19:51	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Snoop Dogg\Sweat (Snoop Dogg vs. David Guetta) [Remix] - Single\Sweat.mp3
Best Love Song (feat. Chris Brown)	T-Pain		Best Love Song (feat. Chris Brown) - Single		Hip-Hop/Rap	7941908	197	1	1	1	1	2011	12/04/2011 00:12	27/04/2011 19:51	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\T-Pain\Best Love Song (feat .Chris Brown) - Single\Best Love Song (feat .Chris Brown).mp3
Higher (feat. Kylie Minogue & Travie McCoy)	Taio Cruz		Higher (feat. Kylie Minogue) - EP		Pop	5488129	187			1		2011	06/04/2011 09:43	27/04/2011 19:51	183	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Taio Cruz\Higher (feat. Kylie Minogue) - EP\Higher (feat. Kylie Minogue & Travie McCoy).mp3
No Other One	Taio Cruz		No Other One - EP		Pop	5677602	217			1		2009	27/04/2011 17:37	27/04/2011 19:51	206	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Taio Cruz\No Other One - EP\No Other One.mp3
The Flood	Take That	Jocelyn Pook	The Flood		Pop	11653704	291			1		2010	25/03/2011 14:15	27/04/2011 19:51	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Take That\The Flood\The Flood.mp3
C'mon (Catch 'Em By Surprise)	Tiesto & Diplo	Derek Allen/Olle Corneer/Paul Devro/Stefan Engblom/Thomas Pentz/Tijs Verwest	C'Mon (Catch 'Em By Suprise) [Tiesto vs. Diplo] {feat. Busta Rhymes} - EP		Pop	8549377	212			1		2011	25/03/2011 14:16	27/04/2011 19:51	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Tiesto & Diplo\C'Mon (Catch 'Em By Suprise) [Tiesto vs. Diplo] {feat. Busta Rhymes} - EP\C'mon (Catch 'Em By Surprise).mp3
In My System	Tinchy Stryder	Ayak Thiik/F.T. Smith	Third Strike		R&B	5528941	213			2	15	2010	29/04/2011 21:26	27/04/2011 19:51	204	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Tinchy Styder\Third Strike\In My System.mp3
Second Chance	Tinchy Stryder	F.T. Smith/Taio Cruz	Third Strike		R&B	5660172	208			7	15	2010	27/04/2011 18:19	27/04/2011 19:51	214	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Tinchy Styder\Third Strike\Second Chance.mp3
Game Over	Tinchy Stryder	Charlie Bernardo	Third Strike		R&B	7948767	320			9	15	2010	27/04/2011 18:17	27/04/2011 19:51	196	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Tinchy Styder\Third Strike\Game Over.mp3
Let It Rain	Tinchy Stryder/Malanie Fiona		Third Strike		Pop	8873228	220			10		2011	27/04/2011 18:19	27/04/2011 19:51	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Tinchy Styder\Third Strike\Let It Rain.mp3
Frisky (feat. labrinth)	Tinie Tempah		Frisky - EP		Hip-Hop/Rap	8128012	295			1		2010	25/03/2011 14:16	27/04/2011 19:51	209	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Tinie Tempah\Frisky - EP\Frisky (feat. labrinth).mp3
Invincible (feat. Kelly Rowland)	Tinie Tempah		Invincible (feat. Kelly Rowland) - EP		Hip Hop/Rap	5374336	201			1	3	2010	25/03/2011 14:16	27/04/2011 19:51	210	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Tinie Tempah\Invincible (feat. Kelly Rowland) - EP\Invincible (feat. Kelly Rowland).mp3
Pass Out	Tinie Tempah		Pass Out - EP		Hip-Hop/Rap	10755902	267			1		2010	20/04/2011 19:28	27/04/2011 19:51	320	48000		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Tinie Tempah\Pass Out - EP\Pass Out.mp3
Wonderman (feat. Ellie Goulding)	Tinie Tempah & Ellie Goulding		Wonderman (feat. Ellie Goulding) - EP		Hip Hop/Rap	8213835	219			1		2010	31/03/2011 15:34	27/04/2011 19:51	200	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Tinie Tempah\Wonderman (feat. Ellie Goulding) - EP\Wonderman (feat. Ellie Goulding).mp3
Written In The Stars	Tinie Tempah Feat Eric Turner	Adrienne Folles̩/Patty Way/Stephanie Bentley	Wtitten In The Stars - Single		Pop	11714815	220			1		2010	06/04/2011 19:21	27/04/2011 19:51	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Tinie Tempah\Wtitten In The Stars - Single\10 Written In The Stars.mp3
We Bring the Stars Out (feat. Labrinth & Eric Turner): Live from the BRITs	Tinie Tempah/Labrinth/Eric Turner		We Bring the Stars Out (feat. Labrinth & Eric Turner): Live from the BRITs - Single		Pop	11393295	284			1		2011	25/03/2011 14:16	27/04/2011 19:51	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Tinie Tempah\We Bring the Stars Out (feat. Labrinth & Eric Turner) Live from the BRITs - Single\We Bring the Stars Out (feat. Labrinth & Eric Turner) Live from the BRITs.mp3
Hey, Soul Sister	Train		Hey, Soul Sister - Single		Pop	11102270	215			1		2009	04/04/2011 21:54	27/04/2011 19:51	320	44100		MPEG audio file			1	27/04/2011 21:10				C:\Users\Chris\Music\MUSIC (FINISHED)\Train\Hey, Soul Sister - Single\Hey, Soul Sister.mp3
Billionaire	Travie McCoy		Billionair - Single		Pop	11170869	211			1		2010	06/04/2011 22:26	27/04/2011 19:51	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Travie McCoy\Billionair - Single\Billionaire.mp3
Bottoms Up (feat. Nicki Minaj)	Trey Songz		Bottoms Up (feat. Nicki Minaj) - Single		R&B/Soul	9945505	246					2010	19/04/2011 12:23	27/04/2011 19:51	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Trey Songz\Bottoms Up (feat. Nicki Minaj) - Single\Trey Songz - Bottoms Up (feat. Nicki Minaj) [2010-Single][MJN].mp3
DJ Got Us Fallin' In Love (feat. Pitbull)	Usher	Armando C. Perez/Max Martin/Savan Kotecha/Shellback	DJ Got Us Fallin' In Love (feat. Pitbull) - Single		R&B/Soul	8881802	221			1		2010	27/04/2011 18:20	27/04/2011 19:51	320	48000		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Usher\DJ Got Us Fallin' In Love (feat. Pitbull\DJ Got Us Fallin' In Love (feat. Pitbull).mp3
Black and Yellow	Wiz Khalifa		Black and Yellow - Single		Hip Hop/Rap	8785018	216			1	1	2010	29/04/2011 21:27	27/04/2011 19:51	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Wiz Khalifa\Black And Yellow - Single\Black and Yellow.mp3
Traktor (Explicit Edit)	Wretch 32		Traktor (feat. L)		Pop	8709088	217			6		2011	25/03/2011 14:16	27/04/2011 19:51	320	44100		MPEG audio file			2	27/04/2011 21:02				C:\Users\Chris\Music\MUSIC (FINISHED)\Wretch 32\Traktor (feat. L)\Traktor (Explicit Edit).mp3
Yeo Valley Rap (feat. Mr George & Lisa Roxanne)	Yeo Valley Boyz		Yeo Valley Rap (feat. Mr George & Lisa Roxanne)		Alternative	4859664	119			1		2010	25/03/2011 14:16	27/04/2011 19:51	320	48000		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Yeo Valley Boys\Yeo Valley Rap (feat. Mr George & Lisa R)\Yeo Valley Rap (feat. Mr George & Lisa Roxanne).mp3
We No Speak Americano (Original mix) www.house-maniacs.com	Yolanda Be Cool & Dcup 		We No Speak Americano		Dance	10884022	269			1		2009	27/04/2011 18:19	27/04/2011 19:51	320	48000		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\Yolanda Be Cool & Dcup\We No Speak Americano - Single\We No Speak Americano (Original mix).mp3
Rescue Me	You Me At Six & Chiddy		Rescue Me - EP		Pop	7910856	197			1		2011	20/04/2011 19:33	27/04/2011 19:51	320	44100		MPEG audio file								C:\Users\Chris\Music\MUSIC (FINISHED)\You Me At Six & Chiddy\Rescue Me - EP\Rescue Me.mp3
